Keywords,Person,Organization,Money,Contact_Number,Email Id,Date
"['employee information', 'maintaining software applications', 'employee', 'software engineer', 'employment contract', 'termination conditions', 'john doe', 'maintaining software', 'intellectual property rights', 'software applications']",['John Doe'],"['Instagram', 'per']","['$100,000']",,,"['January 1, 2022']"
"['employee information', 'interpreting data', 'employee', 'data scientist', 'data science', 'data', 'leo kim', 'employment contract', 'termination conditions', 'intellectual property rights']",,"['Instagram', 'per']","['$100,000']",,,"['April 1, 2023']"
"['employee information', 'employee', 'data engineer', 'liam kim', 'data', 'employment contract', 'maintaining data infrastructure', 'data infrastructure', 'maintaining data', 'intellectual property rights']",['Liam Kim'],"['Instagram', 'per']","['$105,000']",,,"['August 1, 2023']"
"['assurance specialist', 'employee information', 'employee', 'lucas martinez', 'quality assurance specialist', 'employment contract', 'quality', 'assurance', 'intellectual property rights', 'quality assurance']",,['Instagram'],"['$80,000 per year']",,,"['February 1, 2023']"
"['employee information', 'employee', 'content creator', 'creative content', 'content', 'employment contract', 'termination conditions', 'producing engaging', 'luna nguyen', 'intellectual property rights']",,['Instagram'],"['$75,000 per year']",,,"['March 1, 2023']"
"['employee information', 'maintaining software applications', 'employee', 'software developer', 'max nguyen', 'employment contract', 'termination conditions', 'maintaining software', 'intellectual property rights', 'software applications']",['July 1'],['Instagram'],"['$95,000 per year']",,,"['July 1, 2023']"
"['public relations', 'employee information', 'employee', 'public', 'mia hernandez', 'employment contract', 'relations manager', 'public relations manager', 'relations', 'intellectual property rights']",,['Instagram'],"['$110,000']",,,"['January 1, 2023']"
"['leading product', 'employee information', 'product manager', 'product management', 'michael johnson', 'employment contract', 'product', 'leading product development', 'product development', 'intellectual property rights']",['Johnson'],"['Instagram', 'per']","['$120,000']",,,"['March 1, 2022']"
"['employee information', 'employee', 'designing user interfaces', 'mila lee', 'designing user', 'employment contract', 'termination conditions', 'product designer', 'confidentiality agreement', 'intellectual property rights']",['Lee'],['Instagram'],"['$85,000 per year']",,,"['September 1, 2023']"
"['olivia taylor', 'employee information', 'employee', 'leading sales', 'sales manager', 'leading sales strategy', 'sales strategy', 'employment contract', 'sales', 'intellectual property rights']",,"['Instagram', 'per']","['$105,000']",,,"['August 1, 2022']"
"['employee information', 'employee', 'finance', 'robert martinez', 'overseeing financial', 'employment contract', 'finance manager', 'termination conditions', 'overseeing financial operations', 'intellectual property rights']",['July 1'],['Instagram'],"['$95,000 per year']",,,"['July 1, 2022']"
"['human resources', 'employee information', 'employee', 'sarah wilson', 'employee relations', 'employment contract', 'termination conditions', 'managing employee', 'managing employee relations', 'intellectual property rights']","['June 1', 'Sarah Wilson']",['Instagram'],"['$85,000 per year']",,,"['June 1, 2022']"
"['legal', 'employee information', 'employee', 'providing legal advice', 'sophia garcia', 'providing legal', 'legal advice', 'legal counsel', 'employment contract', 'intellectual property rights']",,"['Instagram', 'per']","['$125,000']",,,"['November 1, 2022']"
"['employee information', 'support', 'assisting customers', 'employment contract', 'customer', 'support specialist', 'customer support', 'william anderson', 'intellectual property rights', 'customer support specialist']",,['Instagram'],"['$75,000 per year']",,,"['September 1, 2022']"
"['customer success manager', 'employee information', 'customer satisfaction', 'customer success', 'success manager', 'customer', 'zoe lee', 'ensuring customer', 'ensuring customer satisfaction', 'intellectual property rights']",['Zoe Lee'],['Instagram'],"['$90,000 per year']",,,"['May 1, 2023']"
"['stock ownership plan', 'employee information', '4-year vesting schedule', 'esop details', 'ava thomas', 'fair market value', 'administrative assistant', 'stock ownership', 'employee stock', 'employee stock ownership']",,['Instagram'],,,,"['October 1, 2022']"
"['stock ownership plan', 'employee information', '4-year vesting schedule', 'data analyst', 'fair market value', 'stock ownership', 'data analytics', 'david lee', 'employee stock', 'employee stock ownership']",['David Lee'],['Instagram'],,,,"['May 1, 2022']"
"['stock ownership plan', 'employee information', '4-year vesting schedule', 'esop details', 'employee', 'fair market value', 'emily brown', 'stock ownership', 'employee stock', 'employee stock ownership']",['Emily Brown'],['Instagram'],,,,"['April 1, 2022']"
"['stock ownership plan', 'ethan rodriguez', 'employee information', '4-year vesting schedule', 'esop details', 'fair market value', 'stock ownership', 'security officer', 'employee stock', 'employee stock ownership']",,['Instagram'],,,,"['December 1, 2022']"
"['stock ownership plan', 'employee information', 'content moderator', '4-year vesting schedule', 'esop details', 'fair market value', 'stock ownership', 'eva kim', 'employee stock', 'employee stock ownership']",['June 1'],['Instagram'],,,,"['June 1, 2023']"
"['stock ownership plan', 'employee information', '4-year vesting schedule', 'esop details', 'fair market value', 'stock ownership', 'jane smith', 'employee stock', 'marketing specialist', 'employee stock ownership']",['Jane Smith'],['Instagram'],,,,"['February 1, 2022']"
"['stock ownership plan', 'employee information', '4-year vesting schedule', 'esop details', 'fair market value', 'software engineer', 'stock ownership', 'employee stock', 'john doe', 'employee stock ownership']",['John Doe'],['Instagram'],,,,"['January 1, 2022']"
"['stock ownership plan', 'employee information', '4-year vesting schedule', 'data scientist', 'fair market value', 'data science', 'leo kim', 'stock ownership', 'employee stock', 'employee stock ownership']",,['Instagram'],,,,"['April 1, 2023']"
"['stock ownership plan', 'employee information', '4-year vesting schedule', 'esop details', 'data engineer', 'liam kim', 'fair market value', 'stock ownership', 'employee stock', 'employee stock ownership']",['Liam Kim'],['Instagram'],,,,"['August 1, 2023']"
"['stock ownership plan', 'assurance specialist', 'employee information', 'employee stock ownership', 'lucas martinez', 'quality assurance specialist', 'fair market value', 'stock ownership', 'employee stock', 'quality assurance']",,['Instagram'],,,,"['February 1, 2023']"
"['stock ownership plan', 'employee information', '4-year vesting schedule', 'content creator', 'esop details', 'fair market value', 'stock ownership', 'employee stock', 'luna nguyen', 'employee stock ownership']",,['Instagram'],,,,"['March 1, 2023']"
"['stock ownership plan', 'employee information', '4-year vesting schedule', 'esop details', 'software developer', 'max nguyen', 'fair market value', 'stock ownership', 'employee stock', 'employee stock ownership']",['July 1'],['Instagram'],,,,"['July 1, 2023']"
"['stock ownership plan', 'public relations', 'employee information', 'fair market value', 'relations manager', 'stock ownership', 'public relations manager', 'employee stock', 'mia hernandez', 'employee stock ownership']",,['Instagram'],,,,"['January 1, 2023']"
"['stock ownership plan', 'employee information', '4-year vesting schedule', 'fair market value', 'product manager', 'product management', 'michael johnson', 'stock ownership', 'employee stock', 'employee stock ownership']",['Johnson'],['Instagram'],,,,"['March 1, 2022']"
"['stock ownership plan', 'employee information', '4-year vesting schedule', 'esop details', 'mila lee', 'fair market value', 'stock ownership', 'product designer', 'employee stock', 'employee stock ownership']",['Lee'],['Instagram'],,,,"['September 1, 2023']"
"['stock ownership plan', 'olivia taylor', 'employee information', '4-year vesting schedule', 'esop details', 'sales manager', 'fair market value', 'stock ownership', 'employee stock', 'employee stock ownership']",,['Instagram'],,,,"['August 1, 2022']"
"['stock ownership plan', 'employee information', '4-year vesting schedule', 'esop details', 'fair market value', 'robert martinez', 'stock ownership', 'finance manager', 'employee stock', 'employee stock ownership']",['July 1'],['Instagram'],,,,"['July 1, 2022']"
"['stock ownership plan', 'employee information', 'human resources', '4-year vesting schedule', 'esop details', 'sarah wilson', 'fair market value', 'stock ownership', 'employee stock', 'employee stock ownership']","['June 1', 'Sarah Wilson']",['Instagram'],,,,"['June 1, 2022']"
"['stock ownership plan', 'employee information', '4-year vesting schedule', 'esop details', 'sophia garcia', 'fair market value', 'legal counsel', 'stock ownership', 'employee stock', 'employee stock ownership']",,['Instagram'],,,,"['November 1, 2022']"
"['stock ownership plan', 'employee information', 'customer support specialist', 'fair market value', 'stock ownership', 'support specialist', 'customer support', 'employee stock', 'william anderson', 'employee stock ownership']",,['Instagram'],,,,"['September 1, 2022']"
"['stock ownership plan', 'customer success manager', 'employee information', 'customer success', 'fair market value', 'success manager', 'stock ownership', 'zoe lee', 'employee stock', 'employee stock ownership']",['Zoe Lee'],['Instagram'],,,,"['May 1, 2023']"
"['employee information', 'employee payslip', 'ava thomas', 'end date', 'total deductions', 'net pay', 'start date', 'insurance contributions', 'administrative assistant', 'basic salary']",,,"['$3,056.67', '$70.00', '$140.00', '$3,966.67', '$350.00', '$700.00', '$2,916.67', '$910.00']",,,"['October 15, 2022', 'October 1, 2022']"
"['employee information', 'employee payslip', 'data analyst', 'end date', 'net pay', 'start date', 'data analytics', 'insurance contributions', 'david lee', 'basic salary']",['David Lee'],,"['$1,430.00', '$6,233.33', '$220.00', '$550.00', '$4,803.33', '$110.00', '$4,583.33', '$1,100.00']",,,"['May 15, 2022', 'May 1, 2022']"
"['employee information', 'employee payslip', 'end date', 'total deductions', 'net pay', 'total earnings', 'emily brown', 'start date', 'insurance contributions', 'basic salary']",['Emily Brown'],,"['$5,100.00', '$3,750.00', '$90.00', '$450.00', '$180.00', '$900.00', '$1,170.00', '$3,930.00']",,,"['April 1, 2022', 'April 15, 2022']"
"['ethan rodriguez', 'employee payslip', 'employee information', 'end date', 'total deductions', 'net pay', 'start date', 'security officer', 'insurance contributions', 'basic salary']",,,"['$3,056.67', '$70.00', '$140.00', '$3,966.67', '$350.00', '$700.00', '$2,916.67', '$910.00']",,,"['December 15, 2022', 'December 1, 2022']"
"['employee information', 'employee payslip', 'content moderator', 'end date', 'total deductions', 'net pay', 'start date', 'eva kim', 'insurance contributions', 'basic salary']",['June 15'],,"['$3,493.33', '$4,533.33', '$160.00', '$80.00', '$400.00', '$800.00', '$3,333.33', '$1,040.00']",,,"['June 1, 2023', 'June 15, 2023']"
"['employee information', 'employee payslip', 'end date', 'total deductions', 'net pay', 'start date', 'jane smith', 'insurance contributions', 'marketing specialist', 'basic salary']",['Jane Smith'],,"['$3,493.33', '$4,533.33', '$160.00', '$80.00', '$400.00', '$800.00', '$3,333.33', '$1,040.00']",,,"['February 15, 2022', 'February 1, 2022']"
"['employee information', 'employee payslip', 'end date', 'total deductions', 'net pay', 'software engineer', 'start date', 'insurance contributions', 'john doe', 'basic salary']",['John Doe'],,"['$500.00', '$100.00', '$4,366.67', '$200.00', '$1,000.00', '$1,300.00', '$5,666.67', '$4,166.67']",,,"['January 1, 2022', 'January 15, 2022']"
"['employee information', 'employee payslip', 'data scientist', 'end date', 'data science', 'net pay', 'leo kim', 'start date', 'insurance contributions', 'basic salary']",,,"['$500.00', '$100.00', '$4,366.67', '$200.00', '$1,000.00', '$1,300.00', '$5,666.67', '$4,166.67']",,,"['April 15, 2023', 'April 1, 2023']"
"['employee information', 'employee payslip', 'data engineer', 'liam kim', 'end date', 'total deductions', 'net pay', 'start date', 'insurance contributions', 'basic salary']",['Liam Kim'],,"['$1,365.00', '$1,050.00', '$4,375.00', '$5,950.00', '$525.00', '$210.00', '$105.00', '$4,585.00']",,,"['August 15, 2023', 'August 1, 2023']"
"['assurance specialist', 'employee information', 'employee payslip', 'lucas martinez', 'quality assurance specialist', 'end date', 'start date', 'insurance contributions', 'basic salary', 'quality assurance']",,,"['$3,493.33', '$4,533.33', '$160.00', '$80.00', '$400.00', '$800.00', '$3,333.33', '$1,040.00']",,,"['February 15, 2023', 'February 1, 2023']"
"['employee information', 'employee payslip', 'content creator', 'end date', 'total deductions', 'net pay', 'start date', 'basic salary', 'insurance contributions', 'luna nguyen']",,,"['$375.00', '$975.00', '$150.00', '$750.00', '$3,275.00', '$75.00', '$3,125.00', '$4,250.00']",,,"['March 15, 2023', 'March 1, 2023']"
"['employee information', 'employee payslip', 'software developer', 'max nguyen', 'end date', 'total deductions', 'net pay', 'start date', 'insurance contributions', 'basic salary']","['July 15, 2023\n\n Earnings:\n- Basic Salary: $', 'July 15']",,"['$475.00', '$190.00', '$95.00', '$1,235.00', '$4,148.33', '$950.00', '$5,383.33']",,,"['July 15, 2023', 'July 1, 2023']"
"['public relations', 'employee payslip', 'employee information', 'end date', 'start date', 'relations manager', 'public relations manager', 'insurance contributions', 'basic salary', 'mia hernandez']",,,"['$500.00', '$100.00', '$4,366.67', '$200.00', '$1,000.00', '$1,300.00', '$5,666.67', '$4,166.67']",,,"['January 1, 2023', 'January 15, 2023']"
"['employee information', 'employee payslip', 'end date', 'product manager', 'product management', 'michael johnson', 'net pay', 'start date', 'insurance contributions', 'basic salary']",['Johnson'],,"['$240.00', '$1,200.00', '$6,800.00', '$5,240.00', '$600.00', '$1,560.00', '$5,000.00', '$120.00']",,,"['March 15, 2022', 'March 1, 2022']"
"['employee information', 'employee payslip', 'mila lee', 'end date', 'total deductions', 'net pay', 'start date', 'product designer', 'insurance contributions', 'basic salary']",,,"['$425.00', '$3,711.67', '$85.00', '$1,105.00', '$3,541.67', '$4,816.67', '$850.00', '$170.00']",,,"['September 1, 2023', 'September 15, 2023']"
"['olivia taylor', 'employee information', 'employee payslip', 'sales manager', 'end date', 'total deductions', 'net pay', 'start date', 'insurance contributions', 'basic salary']",,,"['$1,365.00', '$1,050.00', '$4,375.00', '$5,950.00', '$525.00', '$210.00', '$105.00', '$4,585.00']",,,"['August 1, 2022', 'August 15, 2022']"
"['employee information', 'employee payslip', 'end date', 'total deductions', 'net pay', 'robert martinez', 'start date', 'finance manager', 'insurance contributions', 'basic salary']","['July 15, 2022\n\n Earnings:\n- Basic Salary: $', 'July 15, 2022. It provides a detailed breakdown of earnings, deductions, and the net pay for the specified period.\n']",,"['$475.00', '$190.00', '$95.00', '$1,235.00', '$4,148.33', '$950.00', '$5,383.33']",,,"['July 15, 2022', 'July 1, 2022']"
"['employee information', 'employee payslip', 'human resources', 'sarah wilson', 'end date', 'total deductions', 'net pay', 'start date', 'insurance contributions', 'basic salary']","['Sarah Wilson', 'June 15']",,"['$425.00', '$3,711.67', '$85.00', '$1,105.00', '$3,541.67', '$4,816.67', '$850.00', '$170.00']",,,"['June 1, 2022', 'June 15, 2022']"
"['employee information', 'employee payslip', 'sophia garcia', 'end date', 'total deductions', 'net pay', 'legal counsel', 'start date', 'insurance contributions', 'basic salary']",,,"['$1,250.00', '$1,625.00', '$125.00', '$250.00', '$5,208.33', '$5,458.33', '$625.00', '$7,083.33']",,,"['November 1, 2022', 'November 15, 2022']"
"['employee information', 'employee payslip', 'basic salary', 'end date', 'start date', 'support specialist', 'insurance contributions', 'customer support', 'william anderson', 'customer support specialist']",,,"['$375.00', '$975.00', '$150.00', '$750.00', '$3,275.00', '$75.00', '$3,125.00', '$4,250.00']",,,"['September 15, 2022', 'September 1, 2022']"
"['customer success manager', 'employee payslip', 'employee information', 'customer success', 'end date', 'success manager', 'start date', 'zoe lee', 'insurance contributions', 'basic salary']",['Zoe Lee'],,"['$5,100.00', '$3,750.00', '$90.00', '$450.00', '$180.00', '$900.00', '$1,170.00', '$3,930.00']",,,"['May 15, 2023', 'May 1, 2023']"
"['dental insurance', 'medicare tax', 'housing allowance', 'pay period', 'transportation allowance', 'social security tax', 'income tax', 'security tax', 'insurance contributions', 'health insurance']",['John Doe'],,"['$975.00', '$4,825.00', '$500.00', '$50.00', '$300.00', '$100.00', '$200.00', '$5,000.00', '$5,800.00', '$25.00']",,,"['March 15, 2023']"
"['stock ownership plan', 'average annual salary', 'shares', 'xyz corporation stock', 'corporation stock based', 'xyz', 'stock ownership', 'effective date', 'xyz corporation', 'employee stock ownership']",,['XYZ Corporation'],,,,"['March 15, 2023']"
"['software', 'employee', 'corporation', 'software engineer', 'xyz corporation', 'john', 'xyz', 'john agrees', 'effective date', 'john doe']","['John agrees', 'John will', 'John during', 'John Doe']",['XYZ Corporation'],"['$100,000']",,,"['March 15, 2023']"
"['employee information', 'employee payslip', 'pay period', 'total deductions', 'end date', 'net pay', 'total earnings', 'start date', 'insurance contributions', 'basic salary']",,,,,,[]
"['stock ownership plan', 'employee information', 'esop details', 'vesting schedule', 'valuation methods', 'stock ownership', 'eligibility criteria', 'ownership plan', 'employee stock', 'employee stock ownership']",,,,,,[]
"['work hours', 'intellectual property', 'property rights', 'employee information', 'employee', 'employment contract', 'termination conditions', 'company policies', 'confidentiality agreement', 'intellectual property rights']",,,,,,[]
